Date,Open,High,Low,Close,Adj Close,Volume
02-Mar-20,6400.95,6439.55,6250,6285.15,6332.12,1219764
03-Mar-20,6318,6422.15,6280.5,6386.05,6344.8,849199
04-Mar-20,6390,6424,6209,6384.35,6334.46,904360
05-Mar-20,6411.9,6464,6330.2,6365.95,6390.88,645853
06-Mar-20,6196.4,6480,6100.15,6445.95,6331.23,1140899
09-Mar-20,6301,6374,6079.4,6201.1,6240.68,1082031
11-Mar-20,6160,6310.95,6105,6146.3,6177.52,937029
12-Mar-20,5939.3,5939.3,5555.55,5643.15,5742.2,1345986
13-Mar-20,5325.2,6063.5,4803.05,5838.6,5608.16,1480275
16-Mar-20,5638.6,5688,5400,5480.25,5562.31,933424
17-Mar-20,5502,5746.95,5502,5603.95,5646.01,1238640
18-Mar-20,5671,5688.8,5312.55,5352.65,5419.95,973406
19-Mar-20,4870,5096.6,4652.55,4819.55,4874.22,2554586
20-Mar-20,4869,5225,4812.6,5079.2,5040.51,1614608
23-Mar-20,4575,4790,4141,4220.35,4371.69,1531989
24-Mar-20,4341,4570,4030,4486.45,4361.25,1746713
25-Mar-20,4439,5159.4,4310.1,5005.95,4785.8,1728820
26-Mar-20,5024.45,5120,4750,4878,4926.22,1338798
27-Mar-20,5100,5136.5,4555,4646.1,4753.66,1339446
30-Mar-20,4587.45,4639.95,4270,4328.45,4423.18,1528083
31-Mar-20,4450,4468.05,4210,4288.3,4288.74,2140288
01-Apr-20,4290,4424.85,4190.1,4246.35,4273.79,1323857
03-Apr-20,4250,4267,4001.1,4011.5,4099.78,1724863
07-Apr-20,4150,4612.9,4120,4553.65,4325.97,2688425
08-Apr-20,4406.5,4925,4406.5,4698.1,4702.68,2798838
09-Apr-20,4794.45,5399,4736.2,5326.65,5116.97,3786661
13-Apr-20,5285,5343.4,5001,5283.15,5166.27,2192269
15-Apr-20,5307.5,5350,5041,5094.3,5211.13,2094529
16-Apr-20,5017,5228,4970,5130.8,5112.87,1752170
17-Apr-20,5325,5602.95,5211.7,5505,5357.87,2192907
20-Apr-20,5512,5573.95,5280,5331.35,5390.28,1555313
21-Apr-20,5131.3,5131.3,4884.5,5001.1,5001.21,1843174
22-Apr-20,5009,5248.25,4991,5180.85,5134.59,1991789
23-Apr-20,5169,5244.6,5045,5156.35,5172.04,1454065
24-Apr-20,5100,5140,5030,5045.65,5082.53,1070905
27-Apr-20,5150.1,5225,4991.55,5056.35,5126.94,1432342
28-Apr-20,5090,5120,4990.25,5052.7,5039.02,1172062
29-Apr-20,5100,5100,5011.05,5068.45,5059.57,1038100
30-Apr-20,5122,5425,5122,5358.8,5331.09,2341400
04-May-20,5096,5130.25,4840,4886.3,4947.33,1742871
05-May-20,4995,5029.55,4800,4829.85,4879.35,1570620
06-May-20,4841.2,5000,4710,4843.25,4854.89,2214534
07-May-20,4899.5,4935.35,4735,4749.3,4828.35,1530824
08-May-20,4874,4879,4637.5,4654.15,4710,1828146
11-May-20,4750,5014.6,4730.15,4937.8,4915.93,3176498
12-May-20,4914,4985,4690.05,4951.3,4848.14,3124772
13-May-20,5250,5317.45,4986.25,5036.1,5140.21,3304851
14-May-20,4905,5145,4852.15,5114.05,5044.45,2590715
15-May-20,5110,5123.2,4961.15,5100.4,5046.67,2182575
18-May-20,5080.4,5095,4680.55,4720.95,4816.74,3164147
19-May-20,4842,4900,4755.75,4805.3,4832.13,2108189
20-May-20,4754,4920,4745.5,4891.95,4831.92,1518297
21-May-20,4890,5073.8,4851.05,5050.1,5007.92,1868172
22-May-20,5010,5150,4930.75,5134.3,5033.15,1935877
